token,network,fee,min,max
AGLD,ERC20,6.95,13.0,9999999.0
MXN,FIAT_MONEY,0.0,0.0,10000000000.0
STPT,ERC20,136.0,272.0,10000000000.0
MATICUSDCE,MATIC,0.056,0.11,100000000.0
UGX,FIAT_MONEY,0.0,0.0,10000000000.0
GLM,ERC20,18.0,36.0,10000000000.0
RAY,SPL,0.84,1.68,9999999.0
NEAR,BEP20,0.12,0.24,10000000000.0
NEAR,NEAR,0.018,0.6,10000000000.0
AUDIO,ERC20,50.0,100.0,10000000000.0
WLD,ERC20,3.67,7.34,9999999.0
WLD,OPTIMISM,3.67,0.03,9999999.0
ETHFI,ARBITRUM,0.066,0.13,9999999.0
ETHFI,ERC20,4.16,8.32,9999999.0
FDUSD,BEP20,0.0,20.0,10000000000.0
FDUSD,ERC20,0.0,20.0,10000000000.0
FDUSD,OPBNB,0.0,20.0,9999999.0
FARM,ERC20,0.15,0.3,9999999.0
ZRO,AVAXC,0.024,0.048,9999999.0
ZRO,ARBITRUM,0.024,0.046,9999999.0
ZRO,BEP20,0.024,0.26,9999999.0
ZRO,BASE,0.024,0.046,9999999.0
ZRO,ERC20,1.42,2.84,9999999.0
ZRO,OPTIMISM,1.42,0.011,9999999.0
ZRO,MATIC,1.42,0.026,9999999.0
SDG,FIAT_MONEY,0.0,0.0,10000000000.0
XNO,NANO,0.041,0.082,10000000000.0
DGB,DGB,0.004,0.4,30000000000.0
ZRX,ERC20,19.0,38.0,10000000000.0
SANTOS,BEP20,0.21,0.42,9999999.0
WING,ONT,0.0035,0.007,10000000000.0
BCH,BEP20,0.0017,0.0034,10000000000.0
BCH,BCH,0.0002,0.002,10000000000.0
AI,BEP20,1.36,2.72,9999999.0
JST,BEP20,18.0,36.0,10000000000.0
JST,TRC20,50.0,100.0,10000000000.0
HOT,ERC20,3906.0,7812.0,9900000000.0
XOF,FIAT_MONEY,0.0,0.0,10000000000.0
GMT,BEP20,4.4,8.8,9999999.0
GMT,ERC20,4.4,94.0,1000000000.0
GMT,MATIC,4.4,0.9,9999999.0
GMT,SPL,11.0,22.0,1000000000.0
IRIS,IRIS,1.0,2.0,10000000000.0
IRIS,BEP20,1.0,70.0,9999999.0
AR,AR,0.01,0.1,9999999.0
GMX,AVAXC,0.0047,0.0094,9999999.0
GMX,ARBITRUM,0.0044,0.0088,9999999.0
SEI,SEI,0.4,5.0,9999999.0
SEI,SEIEVM,0.4,0.2,9999999.0
