token,chain,symbol network,fee,min,max
USDT,TRC20,TRC20,1.7,2.0,42077300.0
USDT,ERC20,ERC20,0.69,2.0,42077300.0
USDT,Aptos,APT,0.03,0.1,8415460.0
USDT,Arbitrum One,ARBONE,0.098,0.1,42077300.0
USDT,Avalanche C-Chain,AVAXC,0.22,0.01,8415460.0
USDT,Optimism,OPTIMISM,0.15,1.0,42077300.0
USDT,Polygon,MATIC,0.8,0.01,42077300.0
USDT,Solana,SOL,1.0,0.1,42077300.0
USDT,TON,TON,0.15,0.0001,8415460.0
USDT,X Layer,X Layer,0.1,0.0001,12623190.0
USDC,ERC20,ERC20,0.69,1.0,42064681.0
USDC,Arbitrum One,ARBONE,0.098,0.1,25238808.0
USDC,Avalanche C-Chain,AVAXC,0.22,0.01,25238808.0
USDC,Base,Base,0.1,0.1,8412936.0
USDC,Optimism,OPTIMISM,0.15,0.1,25238808.0
USDC,Polygon,MATIC,0.8,0.1,8412936.0
USDC,Polygon (Bridged),Polygon (Bridged),0.2,0.1,42064681.0
USDC,Solana,SOL,1.0,0.01,42064681.0
USDC,SUI,SUI,0.1,0.0001,25238808.0
USDC,X Layer,X Layer,0.1,0.0001,12619404.0
BTC,Bitcoin,BTC,1e-05,0.0005,500.0
BTC,Lightning,BTCLN,1e-06,1e-06,0.1
ETH,ERC20,ETH,0.00044,0.01,26233.0
ETH,Arbitrum One,ARBONE,4e-05,0.001,10493.0
ETH,Base,Base,4e-05,0.002,5247.0
ETH,Linea,Linea,0.0002,0.0001,5247.0
ETH,Optimism,OPTIMISM,4e-05,0.0001,10493.0
ETH,Starknet,Starknet,9.5e-05,1e-05,10493.0
ETH,X Layer,X Layer,3e-05,0.0001,7870.0
ETH,zkSync Era,zkSync Era,4.1e-05,0.0001,10493.0
OKB,ERC20,ERC20,0.013,0.1,791224.0
OKB,X Layer,X Layer,0.001,0.01,158245.0
LTC,Litecoin,LTC,0.001,0.01,215147.0
XRP,Ripple,XRP,0.2,2.0,19776885.0
BCH,BitcoinCash,BCH,0.0008,0.01,122424.0
BSV,Bitcoin SV,BSV,0.0004,0.01,1480032.0
ETC,Ethereum Classic,ETC,0.008,0.1,1097192.0
1INCH,ERC20,ERC20,4.04,1.0,245205711.0
AAVE,ERC20,ERC20,0.005,0.01,297935.0
ACA,Acala,ACA,0.1,0.1,274029958.0
ACE,Endurance Smart Chain,Endurance Smart Chain,0.008,0.1,18294478.0
ACH,ERC20,ERC20,32.16,10.0,99999999.0
ACT,Solana,SOL,12.8,0.1,780654917.0
ADA,Cardano,ADA,0.8,2.0,39208542.0
AERGO,ERC20,ERC20,2.34,1.0,137552468.0
AEVO,ERC20,ERC20,7.81,0.1,99999999.0
AGLD,ERC20,ERC20,0.88,0.01,53154750.0
AIDOGE,Arbitrum One,ARBONE,2000000000.0,1000000000.0,2e+17
AIXBT,Base,Base,0.05,0.0001,94132662.0
ALCX,ERC20,ERC20,0.081,0.0001,4886459.0
ALGO,Algorand,ALGO,0.008,0.1,90830653.0
ALPHA,ERC20,ERC20,24.94,1.0,1528971657.0
ANIME,ERC20,ERC20,45.73,0.0001,553648684.0
APE,ERC20,ERC20,1.64,0.001,98634083.0
API3,ERC20,ERC20,0.85,1.0,51251279.0
APT,Aptos,APT,0.001,0.01,3436986.0
AR,Arweave,AR,0.01,0.01,3060724.0
ARB,ERC20,ERC20,0.7,0.1,27792140.0
ARB,Arbitrum One,ARBONE,0.02,0.05,27792140.0
ARG,Chiliz 2.0 Chain,Chiliz 2.0 Chain,0.1,1.0,13518811.0
ARKM,ERC20,ERC20,1.46,0.1,52487277.0
ARTY,BSC,BEP20,1.0,1.0,32988867.0
ASTR,Astar,ASTR,2.0,0.001,319372296.0
ATH,ERC20,ERC20,50.0,0.01,99999999.0
ATOM,Cosmos,ATOM,0.016,0.1,4084183.0
AUCTION,ERC20,ERC20,0.058,0.1,3471152.0
AVAX,Avalanche X-Chain,AVAXX,0.048,0.1,847905.0
AVAX,Avalanche C-Chain,AVAXC,0.0064,0.1,847905.0
AXS,ERC20,ERC20,0.31,0.001,18495516.0
BABY,Babylon,Babylon,0.01,0.0001,61426715.0
BABYDOGE,OKTC,OKTC,500000000.0,1.0,3.5460992907801416e+16
BABYDOGE,BSC,BEP20,900000000.0,1.0,1.4184397163120568e+16
BADGER,ERC20,ERC20,0.86,0.1,51692015.0
BAL,ERC20,ERC20,0.84,0.1,50331699.0
BANANA,ERC20,ERC20,0.044,0.01,1556497.0
BAND,ERC20,ERC20,1.01,0.1,61597570.0
BAT,ERC20,ERC20,5.53,1.0,335812450.0
BERA,Berachain,Berachain,0.0001,0.001,2114437.0
BICO,ERC20,ERC20,6.88,0.0001,415373149.0
BIGTIME,ERC20,ERC20,10.23,10.0,123611340.0
BIO,ERC20,ERC20,13.63,0.0001,164044055.0
BLUR,ERC20,ERC20,1.0,1.0,99999999.0
BNB,BSC,BEP20,0.0002,1e-05,28805.0
BNT,ERC20,ERC20,1.88,1.0,114371568.0
BOBA,ERC20,ERC20,33.77,0.9,1e+24
BOME,Solana,SOL,294.17588561,100.0,7369054318.0
BONE,ERC20,ERC20,2.74,0.5,99473522.0
BONK,Solana,SOL,37434.09920623,10000.0,3135651415903.0
BORA,Klaytn,KLAY,0.3,1.0,107614578.0
BTT,TRC20,TRC20,320000.0,1.0,25332809788598.0
CAT,BSC,BEP20,20000.0,10000.0,1499014398033.0
CATI,TON,TON,0.04,1.0,112355941.0
CELO,CELO,CELO,0.0024,1.0,113607290.0
CELR,ERC20,ERC20,88.38,1.0,5389688741.0
CETUS,SUI,SUI,0.1,10.0,84884608.0
CFG,ERC20,ERC20,37.17,0.1,314714286.0
CFX,Conflux,Conflux,0.01,0.1,238939807.0
CFX,CFX_EVM,CFX_EVM,1.0,1.0,99999999.0
CHZ,ERC20,ERC20,18.21,1.0,1102654612.0
CHZ,Chiliz Chain,Chiliz Chain,1.0,1.0,99999999.0
CITY,Chiliz 2.0 Chain,Chiliz 2.0 Chain,0.1,1.0,8274789.0
CLV,ERC20,ERC20,28.77,0.1,1789000851.0
COMP,ERC20,ERC20,0.017,0.001,1023281.0
CORE,CORE,CORE,0.001,0.1,16264901.0
CRO,Crypto,CRONOS,0.03,1.0,293119471.0
CRV,ERC20,ERC20,1.13,1.0,69206086.0
CRV,Polygon,MATIC,0.01,0.001,69206086.0
CSPR,Casper,CSPR,4.0,3.0,1700780113.0
CTC,ERC20,ERC20,1.2,1.0,72710040.0
CTXC,Cortex,Cortex,0.0008,1.0,116235635.0
CVC,ERC20,ERC20,6.47,1.0,392182869.0
CVX,ERC20,ERC20,0.33,0.001,19904115.0
CXT,ERC20,ERC20,18.98,10.0,99999999.0
DAI,ERC20,ERC20,0.69,1.0,42035265.0
DAI,Polygon,MATIC,0.1,0.0001,42035265.0
DAI,X Layer,X Layer,0.1,0.0001,12610579.0
DAO,BSC,BEP20,0.2,0.1,99999999.0
DEGEN,Base,Base,0.5,100.0,3576481092.0
DEP,ERC20,ERC20,682.64,1.0,42161623396.0
DGB,Digibyte,DGB,0.0032,100.0,1686633932.0
DIA,ERC20,ERC20,1.99,1.0,121505342.0
DOGE,Dogecoin,DOGE,4.0,10.0,769472112.0
DOGS,TON,TON,50.0,100.0,36211102034.0
DORA,Dora Vota Mainnet,Dora Vota Mainnet,1.0,0.0001,99999999.0
DOT,Polkadot,DOT,0.08,2.0,18034739.0
DUCK,TON,TON,5.0,0.0001,3565872891.0
DYDX,DYDX,DYDX,0.03,1.0,15187620.0
EGLD,Elrond,EGLD,0.00064,0.01,598539.0
EIGEN,ERC20,ERC20,2.0,0.1,10126907.0
ELF,AELF,AELF,1.0,1.0,76783394.0
ELON,ERC20,ERC20,5450309.03,10000000.0,329771797915842.0
ENJ,Enjin Relay Chain,Enjin Relay Chain,0.001,1.0,99999999.0
ENS,ERC20,ERC20,0.049,0.01,2906493.0
EOS,EOS,EOS,0.08,1.0,68240837.0
ERN,ERC20,ERC20,0.51,0.001,30646249.0
ETHFI,ERC20,ERC20,1.46,0.1,52761505.0
ETHW,EthereumPoW,EthereumPoW,0.01,0.01,35299748.0
FET,ERC20,ERC20,2.0,1.0,49415502.0
FIL,Filecoin,FIL,0.0008,0.1,6697541.0
FLM,N3,N3,1.0,1.0,578779918.0
FLOKI,BSC,BEP20,10000.0,1.0,286874405811.0
FLOW,FLOW,FLOW,0.008,0.1,119064233.0
FLR,Flare,Flare,1.0,1.0,940800447.0
FORTH,ERC20,ERC20,0.21,0.1,12303304.0
FOXY,Linea,Linea,200.0,1000.0,99999999.0
FXS,ERC20,ERC20,0.4,0.1,14559619.0
G,ERC20,ERC20,52.5,10.0,642401527.0
G,Gravity Alpha Mainnet,Gravity Alpha Mainnet,1e-06,0.0001,642401527.0
GALA,ERC20,ERC20,363.2,0.1,99999999.0
GALFT,Chiliz 2.0 Chain,Chiliz 2.0 Chain,0.1,1.0,5153374.0
GAS,N3,N3,0.1,1.0,2760072.0
GEAR,ERC20,ERC20,500.0,1.0,15688777036.0
GHST,ERC20,ERC20,1.64,1.0,101391084.0
GLM,ERC20,ERC20,2.67,10.0,162711910.0
GLMR,Moonbeam,GLRM,0.01,0.0001,121103180.0
GMT,Solana,SOL,8.0,0.01,954783299.0
GMT,Polygon,MATIC,1.0,0.1,190956660.0
GMX,Arbitrum One,ARBONE,0.01,0.01,576401.0
